"SOURCE","Source","BRANCH","Branch","TYPEXP","Type of Expenditure","TYPROG","Type of Programme","UNIT","Measure","COUNTRY","Country","YEAR","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"10","Public","5","Family","0","Total","0","Total","PCT_GDP","In percentage of Gross Domestic Product","AUT","Austria","2005","2005","PC","Percentage","0","Units",,,2.888,,
"10","Public","5","Family","0","Total","0","Total","PCT_GDP","In percentage of Gross Domestic Product","AUT","Austria","2006","2006","PC","Percentage","0","Units",,,2.775,,
"10","Public","5","Family","0","Total","0","Total","PCT_GDP","In percentage of Gross Domestic Product","AUT","Austria","2007","2007","PC","Percentage","0","Units",,,2.647,,
"10","Public","5","Family","0","Total","0","Total","PCT_GDP","In percentage of Gross Domestic Product","AUT","Austria","2008","2008","PC","Percentage","0","Units",,,2.713,,
"10","Public","5","Family","0","Total","0","Total","PCT_GDP","In percentage of Gross Domestic Product","AUT","Austria","2009","2009","PC","Percentage","0","Units",,,2.921,,
"10","Public","5","Family","0","Total","0","Total","PCT_GDP","In percentage of Gross Domestic Product","AUT","Austria","2010","2010","PC","Percentage","0","Units",,,2.953,,
"10","Public","5","Family","0","Total","0","Total","PCT_GDP","In percentage of Gross Domestic Product","AUT","Austria","2011","2011","PC","Percentage","0","Units",,,2.696,,
"10","Public","5","Family","0","Total","0","Total","PCT_GDP","In percentage of Gross Domestic Product","AUT","Austria","2012","2012","PC","Percentage","0","Units",,,2.642,,
"10","Public","5","Family","0","Total","0","Total","PCT_GDP","In percentage of Gross Domestic Product","AUT","Austria","2013","2013","PC","Percentage","0","Units",,,2.649,,
"10","Public","5","Family","0","Total","0","Total","PCT_GDP","In percentage of Gross Domestic Product","AUT","Austria","2014","2014","PC","Percentage","0","Units",,,2.608,,
"10","Public","5","Family","0","Total","0","Total","PCT_GDP","In percentage of Gross Domestic Product","AUT","Austria","2015","2015","PC","Percentage","0","Units",,,2.645,,
"10","Public","5","Family","0","Total","0","Total","PCT_GDP","In percentage of Gross Domestic Product","BEL","Belgium","2000","2000","PC","Percentage","0","Units",,,2.45,,
"10","Public","5","Family","0","Total","0","Total","PCT_GDP","In percentage of Gross Domestic Product","BEL","Belgium","2001","2001","PC","Percentage","0","Units",,,2.555,,
"10","Public","5","Family","0","Total","0","Total","PCT_GDP","In percentage of Gross Domestic Product","BEL","Belgium","2002","2002","PC","Percentage","0","Units",,,2.588,,
"10","Public","5","Family","0","Total","0","Total","PCT_GDP","In percentage of Gross Domestic Product","BEL","Belgium","2003","2003","PC","Percentage","0","Units",,,2.647,,
"10","Public","5","Family","0","Total","0","Total","PCT_GDP","In percentage of Gross Domestic Product","BEL","Belgium","2004","2004","PC","Percentage","0","Units",,,2.594,,
"10","Public","5","Family","0","Total","0","Total","PCT_GDP","In percentage of Gross Domestic Product","BEL","Belgium","2005","2005","PC","Percentage","0","Units",,,2.574,,
"10","Public","5","Family","0","Total","0","Total","PCT_GDP","In percentage of Gross Domestic Product","BEL","Belgium","2006","2006","PC","Percentage","0","Units",,,2.574,,
"10","Public","5","Family","0","Total","0","Total","PCT_GDP","In percentage of Gross Domestic Product","BEL","Belgium","2007","2007","PC","Percentage","0","Units",,,2.634,,
"10","Public","5","Family","0","Total","0","Total","PCT_GDP","In percentage of Gross Domestic Product","BEL","Belgium","2008","2008","PC","Percentage","0","Units",,,2.658,,
"10","Public","5","Family","0","Total","0","Total","PCT_GDP","In percentage of Gross Domestic Product","BEL","Belgium","2009","2009","PC","Percentage","0","Units",,,2.828,,
"10","Public","5","Family","0","Total","0","Total","PCT_GDP","In percentage of Gross Domestic Product","BEL","Belgium","2010","2010","PC","Percentage","0","Units",,,2.811,,
"10","Public","5","Family","0","Total","0","Total","PCT_GDP","In percentage of Gross Domestic Product","BEL","Belgium","2011","2011","PC","Percentage","0","Units",,,2.835,,
"10","Public","5","Family","0","Total","0","Total","PCT_GDP","In percentage of Gross Domestic Product","BEL","Belgium","2012","2012","PC","Percentage","0","Units",,,2.802,,
"10","Public","5","Family","0","Total","0","Total","PCT_GDP","In percentage of Gross Domestic Product","BEL","Belgium","2013","2013","PC","Percentage","0","Units",,,2.85,,
"10","Public","5","Family","0","Total","0","Total","PCT_GDP","In percentage of Gross Domestic Product","BEL","Belgium","2014","2014","PC","Percentage","0","Units",,,2.884,,
"10","Public","5","Family","0","Total","0","Total","PCT_GDP","In percentage of Gross Domestic Product","BEL","Belgium","2015","2015","PC","Percentage","0","Units",,,2.823,,
"10","Public","5","Family","0","Total","0","Total","PCT_GDP","In percentage of Gross Domestic Product","CAN","Canada","2000","2000","PC","Percentage","0","Units",,,0.886,,
"10","Public","5","Family","0","Total","0","Total","PCT_GDP","In percentage of Gross Domestic Product","CAN","Canada","2001","2001","PC","Percentage","0","Units",,,1.022,,
"10","Public","5","Family","0","Total","0","Total","PCT_GDP","In percentage of Gross Domestic Product","CAN","Canada","2002","2002","PC","Percentage","0","Units",,,1.054,,
"10","Public","5","Family","0","Total","0","Total","PCT_GDP","In percentage of Gross Domestic Product","CAN","Canada","2003","2003","PC","Percentage","0","Units",,,1.059,,
"10","Public","5","Family","0","Total","0","Total","PCT_GDP","In percentage of Gross Domestic Product","CAN","Canada","2004","2004","PC","Percentage","0","Units",,,1.073,,
"10","Public","5","Family","0","Total","0","Total","PCT_GDP","In percentage of Gross Domestic Product","CAN","Canada","2005","2005","PC","Percentage","0","Units",,,1.065,,
"10","Public","5","Family","0","Total","0","Total","PCT_GDP","In percentage of Gross Domestic Product","CAN","Canada","2006","2006","PC","Percentage","0","Units",,,1.189,,
"10","Public","5","Family","0","Total","0","Total","PCT_GDP","In percentage of Gross Domestic Product","CAN","Canada","2007","2007","PC","Percentage","0","Units",,,1.223,,
"10","Public","5","Family","0","Total","0","Total","PCT_GDP","In percentage of Gross Domestic Product","CAN","Canada","2008","2008","PC","Percentage","0","Units",,,1.221,,
"10","Public","5","Family","0","Total","0","Total","PCT_GDP","In percentage of Gross Domestic Product","CAN","Canada","2009","2009","PC","Percentage","0","Units",,,1.314,,
"10","Public","5","Family","0","Total","0","Total","PCT_GDP","In percentage of Gross Domestic Product","CAN","Canada","2010","2010","PC","Percentage","0","Units",,,1.266,,
"10","Public","5","Family","0","Total","0","Total","PCT_GDP","In percentage of Gross Domestic Product","CAN","Canada","2011","2011","PC","Percentage","0","Units",,,1.227,,
"10","Public","5","Family","0","Total","0","Total","PCT_GDP","In percentage of Gross Domestic Product","CAN","Canada","2012","2012","PC","Percentage","0","Units",,,1.234,,
"10","Public","5","Family","0","Total","0","Total","PCT_GDP","In percentage of Gross Domestic Product","CAN","Canada","2013","2013","PC","Percentage","0","Units",,,1.2,,
"10","Public","5","Family","0","Total","0","Total","PCT_GDP","In percentage of Gross Domestic Product","CAN","Canada","2014","2014","PC","Percentage","0","Units",,,1.175,,
"10","Public","5","Family","0","Total","0","Total","PCT_GDP","In percentage of Gross Domestic Product","CAN","Canada","2015","2015","PC","Percentage","0","Units",,,1.552,,
"10","Public","5","Family","0","Total","0","Total","PCT_GDP","In percentage of Gross Domestic Product","CZE","Czech Republic","2000","2000","PC","Percentage","0","Units",,,1.773,,
"10","Public","5","Family","0","Total","0","Total","PCT_GDP","In percentage of Gross Domestic Product","CZE","Czech Republic","2001","2001","PC","Percentage","0","Units",,,1.707,,
"10","Public","5","Family","0","Total","0","Total","PCT_GDP","In percentage of Gross Domestic Product","CZE","Czech Republic","2002","2002","PC","Percentage","0","Units",,,1.754,,
"10","Public","5","Family","0","Total","0","Total","PCT_GDP","In percentage of Gross Domestic Product","CZE","Czech Republic","2003","2003","PC","Percentage","0","Units",,,1.675,,
"10","Public","5","Family","0","Total","0","Total","PCT_GDP","In percentage of Gross Domestic Product","CZE","Czech Republic","2004","2004","PC","Percentage","0","Units",,,1.741,,
"10","Public","5","Family","0","Total","0","Total","PCT_GDP","In percentage of Gross Domestic Product","CZE","Czech Republic","2005","2005","PC","Percentage","0","Units",,,2.05,,
"10","Public","5","Family","0","Total","0","Total","PCT_GDP","In percentage of Gross Domestic Product","CZE","Czech Republic","2006","2006","PC","Percentage","0","Units",,,2.012,,
"10","Public","5","Family","0","Total","0","Total","PCT_GDP","In percentage of Gross Domestic Product","CZE","Czech Republic","2007","2007","PC","Percentage","0","Units",,,2.248,,
"10","Public","5","Family","0","Total","0","Total","PCT_GDP","In percentage of Gross Domestic Product","CZE","Czech Republic","2008","2008","PC","Percentage","0","Units",,,2.295,,
"10","Public","5","Family","0","Total","0","Total","PCT_GDP","In percentage of Gross Domestic Product","CZE","Czech Republic","2009","2009","PC","Percentage","0","Units",,,2.418,,
"10","Public","5","Family","0","Total","0","Total","PCT_GDP","In percentage of Gross Domestic Product","CZE","Czech Republic","2010","2010","PC","Percentage","0","Units",,,2.375,,
"10","Public","5","Family","0","Total","0","Total","PCT_GDP","In percentage of Gross Domestic Product","CZE","Czech Republic","2011","2011","PC","Percentage","0","Units",,,2.195,,
"10","Public","5","Family","0","Total","0","Total","PCT_GDP","In percentage of Gross Domestic Product","CZE","Czech Republic","2012","2012","PC","Percentage","0","Units",,,2.172,,
"10","Public","5","Family","0","Total","0","Total","PCT_GDP","In percentage of Gross Domestic Product","CZE","Czech Republic","2013","2013","PC","Percentage","0","Units",,,2.224,,
"10","Public","5","Family","0","Total","0","Total","PCT_GDP","In percentage of Gross Domestic Product","CZE","Czech Republic","2014","2014","PC","Percentage","0","Units",,,2.1,,
"10","Public","5","Family","0","Total","0","Total","PCT_GDP","In percentage of Gross Domestic Product","CZE","Czech Republic","2015","2015","PC","Percentage","0","Units",,,2.04,,
"10","Public","5","Family","0","Total","0","Total","PCT_GDP","In percentage of Gross Domestic Product","DNK","Denmark","2000","2000","PC","Percentage","0","Units",,,3.395,,
"10","Public","5","Family","0","Total","0","Total","PCT_GDP","In percentage of Gross Domestic Product","DNK","Denmark","2001","2001","PC","Percentage","0","Units",,,3.463,,
"10","Public","5","Family","0","Total","0","Total","PCT_GDP","In percentage of Gross Domestic Product","DNK","Denmark","2002","2002","PC","Percentage","0","Units",,,3.556,,
"10","Public","5","Family","0","Total","0","Total","PCT_GDP","In percentage of Gross Domestic Product","DNK","Denmark","2003","2003","PC","Percentage","0","Units",,,3.671,,
"10","Public","5","Family","0","Total","0","Total","PCT_GDP","In percentage of Gross Domestic Product","DNK","Denmark","2004","2004","PC","Percentage","0","Units",,,3.575,,
"10","Public","5","Family","0","Total","0","Total","PCT_GDP","In percentage of Gross Domestic Product","DNK","Denmark","2005","2005","PC","Percentage","0","Units",,,3.5,,
"10","Public","5","Family","0","Total","0","Total","PCT_GDP","In percentage of Gross Domestic Product","DNK","Denmark","2006","2006","PC","Percentage","0","Units",,,3.454,,
"10","Public","5","Family","0","Total","0","Total","PCT_GDP","In percentage of Gross Domestic Product","DNK","Denmark","2007","2007","PC","Percentage","0","Units",,,3.557,,
"10","Public","5","Family","0","Total","0","Total","PCT_GDP","In percentage of Gross Domestic Product","DNK","Denmark","2008","2008","PC","Percentage","0","Units",,,3.609,,
"10","Public","5","Family","0","Total","0","Total","PCT_GDP","In percentage of Gross Domestic Product","DNK","Denmark","2009","2009","PC","Percentage","0","Units",,,3.938,,
"10","Public","5","Family","0","Total","0","Total","PCT_GDP","In percentage of Gross Domestic Product","DNK","Denmark","2010","2010","PC","Percentage","0","Units",,,3.766,,
"10","Public","5","Family","0","Total","0","Total","PCT_GDP","In percentage of Gross Domestic Product","DNK","Denmark","2011","2011","PC","Percentage","0","Units",,,3.786,,
"10","Public","5","Family","0","Total","0","Total","PCT_GDP","In percentage of Gross Domestic Product","DNK","Denmark","2012","2012","PC","Percentage","0","Units",,,3.668,,
"10","Public","5","Family","0","Total","0","Total","PCT_GDP","In percentage of Gross Domestic Product","DNK","Denmark","2013","2013","PC","Percentage","0","Units",,,3.61,,
"10","Public","5","Family","0","Total","0","Total","PCT_GDP","In percentage of Gross Domestic Product","DNK","Denmark","2014","2014","PC","Percentage","0","Units",,,3.512,,
"10","Public","5","Family","0","Total","0","Total","PCT_GDP","In percentage of Gross Domestic Product","DNK","Denmark","2015","2015","PC","Percentage","0","Units",,,3.441,,
"10","Public","5","Family","0","Total","0","Total","PCT_GDP","In percentage of Gross Domestic Product","FIN","Finland","2000","2000","PC","Percentage","0","Units",,,2.934,,
"10","Public","5","Family","0","Total","0","Total","PCT_GDP","In percentage of Gross Domestic Product","FIN","Finland","2001","2001","PC","Percentage","0","Units",,,2.822,,
"10","Public","5","Family","0","Total","0","Total","PCT_GDP","In percentage of Gross Domestic Product","FIN","Finland","2002","2002","PC","Percentage","0","Units",,,2.803,,
"10","Public","5","Family","0","Total","0","Total","PCT_GDP","In percentage of Gross Domestic Product","FIN","Finland","2003","2003","PC","Percentage","0","Units",,,2.815,,
"10","Public","5","Family","0","Total","0","Total","PCT_GDP","In percentage of Gross Domestic Product","FIN","Finland","2004","2004","PC","Percentage","0","Units",,,2.826,,
"10","Public","5","Family","0","Total","0","Total","PCT_GDP","In percentage of Gross Domestic Product","FIN","Finland","2005","2005","PC","Percentage","0","Units",,,2.84,,
"10","Public","5","Family","0","Total","0","Total","PCT_GDP","In percentage of Gross Domestic Product","FIN","Finland","2006","2006","PC","Percentage","0","Units",,,2.809,,
"10","Public","5","Family","0","Total","0","Total","PCT_GDP","In percentage of Gross Domestic Product","FIN","Finland","2007","2007","PC","Percentage","0","Units",,,2.724,,
"10","Public","5","Family","0","Total","0","Total","PCT_GDP","In percentage of Gross Domestic Product","FIN","Finland","2008","2008","PC","Percentage","0","Units",,,2.789,,
"10","Public","5","Family","0","Total","0","Total","PCT_GDP","In percentage of Gross Domestic Product","FIN","Finland","2009","2009","PC","Percentage","0","Units",,,3.136,,
"10","Public","5","Family","0","Total","0","Total","PCT_GDP","In percentage of Gross Domestic Product","FIN","Finland","2010","2010","PC","Percentage","0","Units",,,3.12,,
"10","Public","5","Family","0","Total","0","Total","PCT_GDP","In percentage of Gross Domestic Product","FIN","Finland","2011","2011","PC","Percentage","0","Units",,,3.092,,
"10","Public","5","Family","0","Total","0","Total","PCT_GDP","In percentage of Gross Domestic Product","FIN","Finland","2012","2012","PC","Percentage","0","Units",,,3.193,,
"10","Public","5","Family","0","Total","0","Total","PCT_GDP","In percentage of Gross Domestic Product","FIN","Finland","2013","2013","PC","Percentage","0","Units",,,3.214,,
"10","Public","5","Family","0","Total","0","Total","PCT_GDP","In percentage of Gross Domestic Product","FIN","Finland","2014","2014","PC","Percentage","0","Units",,,3.186,,
"10","Public","5","Family","0","Total","0","Total","PCT_GDP","In percentage of Gross Domestic Product","FIN","Finland","2015","2015","PC","Percentage","0","Units",,,3.113,,
"10","Public","5","Family","0","Total","0","Total","PCT_GDP","In percentage of Gross Domestic Product","FRA","France","2000","2000","PC","Percentage","0","Units",,,2.992,,
"10","Public","5","Family","0","Total","0","Total","PCT_GDP","In percentage of Gross Domestic Product","FRA","France","2001","2001","PC","Percentage","0","Units",,,2.917,,
"10","Public","5","Family","0","Total","0","Total","PCT_GDP","In percentage of Gross Domestic Product","FRA","France","2002","2002","PC","Percentage","0","Units",,,2.904,,
"10","Public","5","Family","0","Total","0","Total","PCT_GDP","In percentage of Gross Domestic Product","FRA","France","2003","2003","PC","Percentage","0","Units",,,2.961,,
"10","Public","5","Family","0","Total","0","Total","PCT_GDP","In percentage of Gross Domestic Product","FRA","France","2004","2004","PC","Percentage","0","Units",,,2.991,,
"10","Public","5","Family","0","Total","0","Total","PCT_GDP","In percentage of Gross Domestic Product","FRA","France","2005","2005","PC","Percentage","0","Units",,,2.924,,
"10","Public","5","Family","0","Total","0","Total","PCT_GDP","In percentage of Gross Domestic Product","FRA","France","2006","2006","PC","Percentage","0","Units",,,2.846,,
"10","Public","5","Family","0","Total","0","Total","PCT_GDP","In percentage of Gross Domestic Product","FRA","France","2007","2007","PC","Percentage","0","Units",,,2.809,,
"10","Public","5","Family","0","Total","0","Total","PCT_GDP","In percentage of Gross Domestic Product","FRA","France","2008","2008","PC","Percentage","0","Units",,,2.789,,
"10","Public","5","Family","0","Total","0","Total","PCT_GDP","In percentage of Gross Domestic Product","FRA","France","2009","2009","PC","Percentage","0","Units",,,3.005,,
"10","Public","5","Family","0","Total","0","Total","PCT_GDP","In percentage of Gross Domestic Product","FRA","France","2010","2010","PC","Percentage","0","Units",,,2.926,,
"10","Public","5","Family","0","Total","0","Total","PCT_GDP","In percentage of Gross Domestic Product","FRA","France","2011","2011","PC","Percentage","0","Units",,,2.872,,
"10","Public","5","Family","0","Total","0","Total","PCT_GDP","In percentage of Gross Domestic Product","FRA","France","2012","2012","PC","Percentage","0","Units",,,2.919,,
"10","Public","5","Family","0","Total","0","Total","PCT_GDP","In percentage of Gross Domestic Product","FRA","France","2013","2013","PC","Percentage","0","Units",,,2.987,,
"10","Public","5","Family","0","Total","0","Total","PCT_GDP","In percentage of Gross Domestic Product","FRA","France","2014","2014","PC","Percentage","0","Units",,,2.994,,
"10","Public","5","Family","0","Total","0","Total","PCT_GDP","In percentage of Gross Domestic Product","FRA","France","2015","2015","PC","Percentage","0","Units",,,2.935,,
"10","Public","5","Family","0","Total","0","Total","PCT_GDP","In percentage of Gross Domestic Product","DEU","Germany","2000","2000","PC","Percentage","0","Units",,,2.048,,
"10","Public","5","Family","0","Total","0","Total","PCT_GDP","In percentage of Gross Domestic Product","DEU","Germany","2001","2001","PC","Percentage","0","Units",,,2.003,,
"10","Public","5","Family","0","Total","0","Total","PCT_GDP","In percentage of Gross Domestic Product","DEU","Germany","2002","2002","PC","Percentage","0","Units",,,2.067,,
"10","Public","5","Family","0","Total","0","Total","PCT_GDP","In percentage of Gross Domestic Product","DEU","Germany","2003","2003","PC","Percentage","0","Units",,,2.078,,
"10","Public","5","Family","0","Total","0","Total","PCT_GDP","In percentage of Gross Domestic Product","DEU","Germany","2004","2004","PC","Percentage","0","Units",,,2.039,,
"10","Public","5","Family","0","Total","0","Total","PCT_GDP","In percentage of Gross Domestic Product","DEU","Germany","2005","2005","PC","Percentage","0","Units",,,2.033,,
"10","Public","5","Family","0","Total","0","Total","PCT_GDP","In percentage of Gross Domestic Product","DEU","Germany","2006","2006","PC","Percentage","0","Units",,,1.726,,
"10","Public","5","Family","0","Total","0","Total","PCT_GDP","In percentage of Gross Domestic Product","DEU","Germany","2007","2007","PC","Percentage","0","Units",,,1.8,,
"10","Public","5","Family","0","Total","0","Total","PCT_GDP","In percentage of Gross Domestic Product","DEU","Germany","2008","2008","PC","Percentage","0","Units",,,1.884,,
"10","Public","5","Family","0","Total","0","Total","PCT_GDP","In percentage of Gross Domestic Product","DEU","Germany","2009","2009","PC","Percentage","0","Units",,,2.154,,
"10","Public","5","Family","0","Total","0","Total","PCT_GDP","In percentage of Gross Domestic Product","DEU","Germany","2010","2010","PC","Percentage","0","Units",,,2.153,,
"10","Public","5","Family","0","Total","0","Total","PCT_GDP","In percentage of Gross Domestic Product","DEU","Germany","2011","2011","PC","Percentage","0","Units",,,2.119,,
"10","Public","5","Family","0","Total","0","Total","PCT_GDP","In percentage of Gross Domestic Product","DEU","Germany","2012","2012","PC","Percentage","0","Units",,,2.147,,
"10","Public","5","Family","0","Total","0","Total","PCT_GDP","In percentage of Gross Domestic Product","DEU","Germany","2013","2013","PC","Percentage","0","Units",,,2.189,,
"10","Public","5","Family","0","Total","0","Total","PCT_GDP","In percentage of Gross Domestic Product","DEU","Germany","2014","2014","PC","Percentage","0","Units",,,2.195,,
"10","Public","5","Family","0","Total","0","Total","PCT_GDP","In percentage of Gross Domestic Product","DEU","Germany","2015","2015","PC","Percentage","0","Units",,,2.221,,
"10","Public","5","Family","0","Total","0","Total","PCT_GDP","In percentage of Gross Domestic Product","GRC","Greece","2000","2000","PC","Percentage","0","Units",,,0.818,,
"10","Public","5","Family","0","Total","0","Total","PCT_GDP","In percentage of Gross Domestic Product","GRC","Greece","2001","2001","PC","Percentage","0","Units",,,0.758,,
"10","Public","5","Family","0","Total","0","Total","PCT_GDP","In percentage of Gross Domestic Product","GRC","Greece","2002","2002","PC","Percentage","0","Units",,,0.726,,
"10","Public","5","Family","0","Total","0","Total","PCT_GDP","In percentage of Gross Domestic Product","GRC","Greece","2003","2003","PC","Percentage","0","Units",,,0.757,,
"10","Public","5","Family","0","Total","0","Total","PCT_GDP","In percentage of Gross Domestic Product","GRC","Greece","2004","2004","PC","Percentage","0","Units",,,0.777,,
"10","Public","5","Family","0","Total","0","Total","PCT_GDP","In percentage of Gross Domestic Product","GRC","Greece","2005","2005","PC","Percentage","0","Units",,,0.779,,
"10","Public","5","Family","0","Total","0","Total","PCT_GDP","In percentage of Gross Domestic Product","GRC","Greece","2006","2006","PC","Percentage","0","Units",,,0.74,,
"10","Public","5","Family","0","Total","0","Total","PCT_GDP","In percentage of Gross Domestic Product","GRC","Greece","2007","2007","PC","Percentage","0","Units",,,0.84,,
"10","Public","5","Family","0","Total","0","Total","PCT_GDP","In percentage of Gross Domestic Product","GRC","Greece","2008","2008","PC","Percentage","0","Units",,,0.839,,
"10","Public","5","Family","0","Total","0","Total","PCT_GDP","In percentage of Gross Domestic Product","GRC","Greece","2009","2009","PC","Percentage","0","Units",,,0.954,,
"10","Public","5","Family","0","Total","0","Total","PCT_GDP","In percentage of Gross Domestic Product","GRC","Greece","2010","2010","PC","Percentage","0","Units",,,0.97,,
"10","Public","5","Family","0","Total","0","Total","PCT_GDP","In percentage of Gross Domestic Product","GRC","Greece","2011","2011","PC","Percentage","0","Units",,,1.003,,
"10","Public","5","Family","0","Total","0","Total","PCT_GDP","In percentage of Gross Domestic Product","GRC","Greece","2012","2012","PC","Percentage","0","Units",,,0.923,,
"10","Public","5","Family","0","Total","0","Total","PCT_GDP","In percentage of Gross Domestic Product","GRC","Greece","2013","2013","PC","Percentage","0","Units",,,1.073,,
"10","Public","5","Family","0","Total","0","Total","PCT_GDP","In percentage of Gross Domestic Product","GRC","Greece","2014","2014","PC","Percentage","0","Units",,,1.1,,
"10","Public","5","Family","0","Total","0","Total","PCT_GDP","In percentage of Gross Domestic Product","GRC","Greece","2015","2015","PC","Percentage","0","Units",,,1.027,,
"10","Public","5","Family","0","Total","0","Total","PCT_GDP","In percentage of Gross Domestic Product","HUN","Hungary","2000","2000","PC","Percentage","0","Units",,,2.988,,
"10","Public","5","Family","0","Total","0","Total","PCT_GDP","In percentage of Gross Domestic Product","HUN","Hungary","2001","2001","PC","Percentage","0","Units",,,2.873,,
"10","Public","5","Family","0","Total","0","Total","PCT_GDP","In percentage of Gross Domestic Product","HUN","Hungary","2002","2002","PC","Percentage","0","Units",,,2.941,,
"10","Public","5","Family","0","Total","0","Total","PCT_GDP","In percentage of Gross Domestic Product","HUN","Hungary","2003","2003","PC","Percentage","0","Units",,,3.208,,
"10","Public","5","Family","0","Total","0","Total","PCT_GDP","In percentage of Gross Domestic Product","HUN","Hungary","2004","2004","PC","Percentage","0","Units",,,2.95,,
"10","Public","5","Family","0","Total","0","Total","PCT_GDP","In percentage of Gross Domestic Product","HUN","Hungary","2005","2005","PC","Percentage","0","Units",,,2.999,,
"10","Public","5","Family","0","Total","0","Total","PCT_GDP","In percentage of Gross Domestic Product","HUN","Hungary","2006","2006","PC","Percentage","0","Units",,,3.271,,
"10","Public","5","Family","0","Total","0","Total","PCT_GDP","In percentage of Gross Domestic Product","HUN","Hungary","2007","2007","PC","Percentage","0","Units",,,3.225,,
"10","Public","5","Family","0","Total","0","Total","PCT_GDP","In percentage of Gross Domestic Product","HUN","Hungary","2008","2008","PC","Percentage","0","Units",,,3.248,,
"10","Public","5","Family","0","Total","0","Total","PCT_GDP","In percentage of Gross Domestic Product","HUN","Hungary","2009","2009","PC","Percentage","0","Units",,,3.399,,
"10","Public","5","Family","0","Total","0","Total","PCT_GDP","In percentage of Gross Domestic Product","HUN","Hungary","2010","2010","PC","Percentage","0","Units",,,3.392,,
"10","Public","5","Family","0","Total","0","Total","PCT_GDP","In percentage of Gross Domestic Product","HUN","Hungary","2011","2011","PC","Percentage","0","Units",,,3.189,,
"10","Public","5","Family","0","Total","0","Total","PCT_GDP","In percentage of Gross Domestic Product","HUN","Hungary","2012","2012","PC","Percentage","0","Units",,,3.083,,
